repository,file_name,context,target_structure,line_number,relative_path,import_hint
accumulo-examples,BloomFiltersNotFound.java,IMPORT,import static org.apache.accumulo.examples.bloom.BloomFilters.writeData,19,src/main/java/org/apache/accumulo/examples/bloom/BloomFiltersNotFound.java,
accumulo,TableConfigurationTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_ENABLED,22,server/base/src/test/java/org/apache/accumulo/server/conf/TableConfigurationTest.java,
accumulo,TableConfigurationTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_SIZE,23,server/base/src/test/java/org/apache/accumulo/server/conf/TableConfigurationTest.java,
accumulo,SystemConfigurationTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_ENABLED,22,server/base/src/test/java/org/apache/accumulo/server/conf/SystemConfigurationTest.java,
accumulo,SystemConfigurationTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_SIZE,23,server/base/src/test/java/org/apache/accumulo/server/conf/SystemConfigurationTest.java,
accumulo,ZooBasedConfigurationTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_ENABLED,24,server/base/src/test/java/org/apache/accumulo/server/conf/ZooBasedConfigurationTest.java,
accumulo,ZooBasedConfigurationTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_SIZE,25,server/base/src/test/java/org/apache/accumulo/server/conf/ZooBasedConfigurationTest.java,
accumulo,AccumuloConfigurationIsPropertySetTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_ENABLED,27,server/base/src/test/java/org/apache/accumulo/server/conf/AccumuloConfigurationIsPropertySetTest.java,
accumulo,AccumuloConfigurationIsPropertySetTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_SIZE,28,server/base/src/test/java/org/apache/accumulo/server/conf/AccumuloConfigurationIsPropertySetTest.java,
accumulo,PropSnapshotTest.java,IMPORT,import static org.apache.accumulo.core.conf.Property.TABLE_BLOOM_ENABLED,21,server/base/src/test/java/org/apache/accumulo/server/conf/util/PropSnapshotTest.java,
accumulo,DynamicBloomFilter.java,IMPORT,import org.apache.hadoop.util.bloom.Key,37,core/src/main/java/org/apache/accumulo/core/bloomfilter/DynamicBloomFilter.java,
accumulo,DynamicBloomFilter.java,INSTANTIATION,BloomFilter,109,core/src/main/java/org/apache/accumulo/core/bloomfilter/DynamicBloomFilter.java,
accumulo,DynamicBloomFilter.java,INSTANTIATION,BloomFilter,238,core/src/main/java/org/apache/accumulo/core/bloomfilter/DynamicBloomFilter.java,
accumulo,DynamicBloomFilter.java,INSTANTIATION,BloomFilter,253,core/src/main/java/org/apache/accumulo/core/bloomfilter/DynamicBloomFilter.java,
accumulo,BloomFilter.java,IMPORT,import org.apache.hadoop.util.bloom.Key,42,core/src/main/java/org/apache/accumulo/core/bloomfilter/BloomFilter.java,
accumulo,Filter.java,IMPORT,import org.apache.hadoop.util.bloom.HashFunction,38,core/src/main/java/org/apache/accumulo/core/bloomfilter/Filter.java,
accumulo,Filter.java,IMPORT,import org.apache.hadoop.util.bloom.Key,39,core/src/main/java/org/apache/accumulo/core/bloomfilter/Filter.java,
accumulo,DispatchingFileFactory.java,INSTANTIATION,BloomFilterLayer.Writer,61,core/src/main/java/org/apache/accumulo/core/file/DispatchingFileFactory.java,
accumulo,DispatchingFileFactory.java,INSTANTIATION,BloomFilterLayer.Reader,78,core/src/main/java/org/apache/accumulo/core/file/DispatchingFileFactory.java,
accumulo,BloomFilterLayer.java,IMPORT,import static org.apache.accumulo.core.util.threads.ThreadPoolNames.BLOOM_LOADER_POOL,22,core/src/main/java/org/apache/accumulo/core/file/BloomFilterLayer.java,
accumulo,BloomFilterLayer.java,IMPORT,import org.apache.accumulo.core.bloomfilter.DynamicBloomFilter,33,core/src/main/java/org/apache/accumulo/core/file/BloomFilterLayer.java,
accumulo,BloomFilterLayer.java,IMPORT,import org.apache.hadoop.util.bloom.Key,48,core/src/main/java/org/apache/accumulo/core/file/BloomFilterLayer.java,
accumulo,BloomFilterLayer.java,INSTANTIATION,DynamicBloomFilter,104,core/src/main/java/org/apache/accumulo/core/file/BloomFilterLayer.java,import org.apache.accumulo.core.bloomfilter.DynamicBloomFilter
accumulo,BloomFilterLayer.java,INSTANTIATION,DynamicBloomFilter,217,core/src/main/java/org/apache/accumulo/core/file/BloomFilterLayer.java,import org.apache.accumulo.core.bloomfilter.DynamicBloomFilter
